"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C33","CASE-A_3216","16.764mm","20.574mm","16.764mm","20.574mm","16.764mm","19.264mm","B","270","10uF"
"C32","0402_C","4.724mm","7.874mm","4.743mm","7.874mm","5.168mm","7.874mm","T","180","100nF"
"C31","0402_C","-6.35mm","28.575mm","-6.35mm","28.575mm","-6.35mm","29mm","T","270","100nF"
"C30","0402_C","8.89mm","11.024mm","8.895mm","11.017mm","8.895mm","11.442mm","B","270","2.2uF"
"C29","0402_C","13.411mm","7.62mm","13.418mm","7.62mm","13.843mm","7.62mm","B","180","2.2uF"
"C28","0402_C","4.699mm","16.637mm","4.699mm","16.637mm","4.274mm","16.637mm","T","0","100nF"
"C27","0402_C","4.699mm","15.494mm","4.699mm","15.494mm","4.274mm","15.494mm","T","0","1.0uF"
"C26","0402_C","11.684mm","9.855mm","11.684mm","9.862mm","11.684mm","10.287mm","B","270","4.7uF"
"C25","0603_C","40.538mm","25.019mm","40.521mm","25.019mm","39.751mm","25.019mm","B","0","100nF"
"C24","0603_C","37.592mm","31.09mm","37.592mm","31.107mm","37.592mm","31.877mm","B","270","100nF"
"C23","0603_C","35.941mm","31.09mm","35.941mm","31.107mm","35.941mm","31.877mm","B","270","10uF"
"C22","0603_C","20.422mm","27.051mm","20.439mm","27.051mm","21.209mm","27.051mm","T","180","100nF"
"C21","0603_C","14.859mm","22.86mm","14.859mm","22.86mm","14.859mm","22.09mm","T","90","100nF"
"C20","0603_C","13.335mm","22.86mm","13.335mm","22.86mm","13.335mm","22.09mm","T","90","10uF"
"C19","0603_C","22.606mm","20.574mm","22.614mm","20.574mm","21.844mm","20.574mm","B","0","100nF"
"C18","1206_C","22.479mm","27.178mm","22.479mm","27.178mm","22.479mm","28.668mm","B","270","10μF"
"C17","1206_C","20.091mm","27.229mm","20.096mm","27.22mm","20.096mm","28.71mm","B","270","10μF"
"C16","CASE-A_3216","40.132mm","22.987mm","40.132mm","22.987mm","41.442mm","22.987mm","B","0","10uF"
"C15","CASE-A_3216","21.133mm","28.829mm","21.122mm","28.829mm","19.812mm","28.829mm","T","180","10uF"
